Type,WorkspaceId,Id,Name,ConfiguredBy,UsesGateway,GatewayId,DatasourceTypes,AtRisk
Dataset,9ba7b08d-a2d2-4537-b410-5c2fe78ee8c7,c4408a88-1c1f-4b54-8c4f-17c9a3b1f940,Feature Usage and Adoption,AdminInsights-117f0a60-0cfc-465a-af5d-ce84ed8a2956,True,c68706bd-03c4-4dca-bc7f-26915b58456b,Extension,True
Dataset,9ba7b08d-a2d2-4537-b410-5c2fe78ee8c7,071238e5-04ec-4c08-a551-9c864b137fca,Purview Hub,AdminInsights-117f0a60-0cfc-465a-af5d-ce84ed8a2956,True,c68706bd-03c4-4dca-bc7f-26915b58456b,Extension,True
Dataset,4cfc42cc-368b-4944-8167-567a849153a9,a877ddd3-8ec1-4bdc-819a-c0f7807b9822,Store Sales,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Sql,True
Dataset,f378d61a-e81c-4f4f-8040-e383da4436c8,50fff027-e300-4a4e-a63a-ee4189491267,Store Sales,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Sql,True
Dataset,4cfc42cc-368b-4944-8167-567a849153a9,c061664f-4baa-43f2-a0cc-bfcfd9c86405,sqlreport,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Sql,True
Dataset,9ba7b08d-a2d2-4537-b410-5c2fe78ee8c7,a186c056-5559-45d3-944a-11b151b0d0c4,Content Sharing,AdminInsights-117f0a60-0cfc-465a-af5d-ce84ed8a2956,True,c68706bd-03c4-4dca-bc7f-26915b58456b,Extension,True
Dataset,c5ed56f8-9ee6-41b4-b448-ca7390b3c5d7,d5aebfca-00b2-40b2-8d18-f327bec0a32c,Store Sales,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Sql,True
Dataset,f4a0cf06-7fa6-47fc-b960-213addc99c29,1943dfc7-ea9e-4698-9a90-757a9cf2323d,Compass AI Friendly Engine_RANDOMISED,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Extension,True
Dataset,ed1b57cd-0c37-4156-91be-450bc8f58577,20761164-37cd-4daf-ac9e-c3f353452ace,udftest,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Sql,True
Dataset,86e39d76-ef69-4a88-a3d5-4f4afba02916,42727d86-f00a-4eba-8ef9-890558c47e6e,Fabric Capacity Metrics,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Extension,True
Dataset,5a469904-5896-4c82-8032-058dfaeea90f,0f963ead-d3db-48ca-9ae5-79c7cbb2933a,OneLake catalog governance report (automatically generated),admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Extension,True
Dataset,73634efb-8115-4bb4-9a61-d051f9a41657,28245352-f96e-49d3-b002-2d2fead11889,Fabric Chargeback Reporting,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Extension,True
Dataset,9ba7b08d-a2d2-4537-b410-5c2fe78ee8c7,868f767f-3025-4beb-9200-fadfc504b22d,OneLake Catalog - Governance for Admins,AdminInsights-117f0a60-0cfc-465a-af5d-ce84ed8a2956,True,c68706bd-03c4-4dca-bc7f-26915b58456b,Extension,True
Dataset,d0c76a75-22f3-40af-a957-e2ec8c52e16a,cace75ed-e2e0-4795-a3ff-8c0396b7f5f0,Customer_insights,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Sql,True
Dataset,f378d61a-e81c-4f4f-8040-e383da4436c8,94f1873f-cb3c-4af4-9b23-64f826c5175f,Customer_insights,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Sql,True
Dataset,8c364761-d144-4678-a91c-0072730e6eb6,1024f586-1a7f-4362-ab9a-ce829ac0640e,Customer_insights,admin@MngEnvMCAP650836.onmicrosoft.com,True,0f3d2ddd-1272-45c2-983d-2865d3d296af,Sql,True
